"","BGN_DATE","END_DATE","COUNTYNAME","STATE","EVTYPE","F","MAG","FATALITIES","INJURIES","LATITUDE","LONGITUDE","LATITUDE_E","LONGITUDE_","Year","Bgn.Time","End.Time","Damage","CropDamage"
"1",1996-05-05,1996-05-05,"POLK","MO","TORNADO",0,0,0,0,37.4833333333333,93.2833333333333,3729,9317,1996,9.76666666666667,9.76666666666667,20000,0
"2",1996-05-05,1996-05-05,"POLK","MO","TORNADO",0,0,0,0,37.5666666666667,93.35,3734,9321,1996,9.76666666666667,9.76666666666667,0,0
"3",1996-05-05,1996-05-05,"DALLAS","MO","TORNADO",1,0,0,0,37.5,92.9333333333333,3730,9253,1996,9.83333333333333,9.88333333333333,50000,0
"4",1996-05-05,1996-05-05,"LACLEDE","MO","TORNADO",1,0,0,1,37.5,92.85,3730,9247,1996,9.88333333333333,10,5e+05,0
"5",1996-07-08,1996-07-08,"CEDAR","MO","TORNADO",0,0,0,0,37.6666666666667,93.8,3740,9348,1996,5.55,5.58333333333333,50000,0
"6",1996-01-18,1996-01-18,"PEMISCOT","MO","TORNADO",1,0,0,0,36.1833333333333,89.8666666666667,3611,8950,1996,8.08333333333333,8.18333333333333,50000,0
"7",1996-01-18,1996-01-18,"MISSISSIPPI","MO","TORNADO",1,0,0,1,36.7833333333333,89.3833333333333,3648,8922,1996,9.11666666666667,9.18333333333333,750000,0
"8",1996-03-05,1996-03-05,"BUTLER","MO","TORNADO",1,0,0,0,36.85,90.6333333333333,3652,9026,1996,5.08333333333333,5.33333333333333,40000,0
"9",1996-03-05,1996-03-05,"STODDARD","MO","TORNADO",1,0,0,0,36.8666666666667,89.8666666666667,3652,8946,1996,6.08333333333333,6.25,75000,0
"10",1996-04-19,1996-04-19,"STE. GENEVIEVE (C)","MO","TORNADO",0,0,0,0,38.0166666666667,90.2166666666667,3801,9013,1996,6,6,0,0
"11",1996-04-19,1996-04-19,"MADISON","MO","TORNADO",0,0,0,0,37.6,90.2833333333333,3736,9017,1996,8.16666666666667,8.16666666666667,0,0
"12",1996-04-19,1996-04-19,"PERRY","MO","TORNADO",3,0,0,0,37.7333333333333,89.8666666666667,3746,8944,1996,8.5,9.08333333333333,5e+06,0
"13",1996-04-19,1996-04-19,"RIPLEY","MO","TORNADO",2,0,0,0,36.6,90.8666666666667,3635,9044,1996,9,9.25,1e+05,0
"14",1996-04-19,1996-04-19,"BUTLER","MO","TORNADO",2,0,0,0,36.8,90.5333333333333,3646,9028,1996,9.08333333333333,9.15,3e+05,0
"15",1996-04-19,1996-04-19,"STODDARD","MO","TORNADO",1,0,0,0,36.6833333333333,89.9833333333333,3641,8958,1996,10.05,10.0666666666667,7e+05,0
"16",1996-04-21,1996-04-21,"WEBSTER","MO","TORNADO",0,0,0,0,37.1,92.7833333333333,3708,9245,1996,10.5,10.5833333333333,1e+05,0
"17",1996-04-28,1996-04-28,"JASPER","MO","TORNADO",1,0,0,12,37.0833333333333,94.5166666666667,3705,9431,1996,1.75,1.8,1.2e+07,0
"18",1996-04-28,1996-04-28,"JASPER","MO","TORNADO",1,0,0,0,37.0833333333333,94.5166666666667,3705,9431,1996,1.8,1.8,1e+06,0
"19",1996-05-08,1996-05-08,"ATCHISON","MO","TORNADO",1,0,0,0,40.5666666666667,95.45,4032,9518,1996,10.4166666666667,10.5833333333333,70000,0
"20",1996-05-25,1996-05-25,"PIKE","MO","TORNADO",0,0,0,0,39.3,91.2666666666667,3916,9115,1996,4.66666666666667,4.75,0,0
"21",1996-05-26,1996-05-26,"BARTON","MO","TORNADO",1,0,0,0,37.5666666666667,94.5666666666667,3737,9432,1996,8.88333333333333,8.96666666666667,5000,0
"22",1996-05-26,1996-05-26,"JOHNSON","MO","TORNADO",1,0,0,0,38.7666666666667,94,3851,9350,1996,8.96666666666667,9.83333333333333,0,0
"23",1996-05-26,1996-05-26,"BARTON","MO","TORNADO",1,0,0,0,37.6333333333333,94.5333333333333,3738,9432,1996,9.03333333333333,9.05,5000,0
"24",1996-05-26,1996-05-26,"LAFAYETTE","MO","TORNADO",0,0,0,0,38.9333333333333,93.65,3856,9339,1996,9.6,9.63333333333333,0,0
"25",1996-06-10,1996-06-10,"ST. LOUIS","MO","TORNADO",0,0,0,0,38.6333333333333,90.4666666666667,3838,9028,1996,5.58333333333333,5.58333333333333,0,0
"26",1996-07-19,1996-07-19,"FRANKLIN","MO","TORNADO",0,0,0,0,38.4333333333333,90.7833333333333,3826,9047,1996,6.66666666666667,6.68333333333333,0,0
"27",1996-09-26,1996-09-26,"NEWTON","MO","TORNADO",1,0,0,0,36.8,94.25,3655,9408,1996,2.33333333333333,2.58333333333333,30000,5000
"28",1996-12-23,1996-12-23,"CRAWFORD","MO","TORNADO",0,0,0,0,37.7333333333333,91.2166666666667,3744,9113,1996,10.75,10.7666666666667,0,0
"29",1996-12-23,1996-12-23,"TEXAS","MO","TORNADO",0,0,0,0,37.1666666666667,91.85,3710,9151,1996,11.5,11.5166666666667,0,0
"30",1997-05-25,1997-05-25,"ST. CLAIR","MO","TORNADO",0,0,0,0,38.1166666666667,94.0333333333333,3807,9402,1997,11.3333333333333,11.3333333333333,500,0
"31",1997-04-30,1997-04-30,"LEWIS","MO","TORNADO",1,0,0,1,40,91.7166666666667,4009,9131,1997,12.25,12.3666666666667,2e+05,0
"32",1997-04-30,1997-04-30,"LEWIS","MO","TORNADO",0,0,0,0,40.05,91.5166666666667,4004,9130,1997,12.3666666666667,12.4166666666667,20000,0
"33",1997-05-17,1997-05-17,"CRAWFORD","MO","TORNADO",0,0,0,0,38.0166666666667,91.4,3801,9124,1997,8.75,8.76666666666667,0,0
"34",1997-05-26,1997-05-26,"MCDONALD","MO","TORNADO",0,0,0,0,36.65,94.15,3639,9405,1997,9.21666666666667,9.25,5000,0
"35",1997-06-13,1997-06-13,"JACKSON","MO","TORNADO",0,0,0,0,39,94.1166666666667,3900,9407,1997,3.66666666666667,3.66666666666667,5000,0
"36",1997-06-13,1997-06-13,"SCOTT","MO","TORNADO",0,0,0,0,36.8833333333333,89.6833333333333,3653,8941,1997,7.16666666666667,7.16666666666667,0,0
"37",1997-06-17,1997-06-17,"STODDARD","MO","TORNADO",0,0,0,0,36.8333333333333,89.85,3650,8951,1997,11.75,12.75,0,0
"38",1997-06-17,1997-06-17,"BUTLER","MO","TORNADO",0,0,0,0,36.6,90.35,3636,9021,1997,6.5,6.53333333333333,0,0
"39",1997-07-08,1997-07-08,"WAYNE","MO","TORNADO",0,0,0,0,37.2166666666667,90.35,3713,9021,1997,5.68333333333333,5.68333333333333,0,0
"40",1997-07-16,1997-07-16,"NEW MADRID","MO","TORNADO",0,0,0,0,36.5833333333333,89.5833333333333,3635,8935,1997,11.7833333333333,11.85,0,0
"41",1997-07-16,1997-07-16,"NEW MADRID","MO","TORNADO",0,0,0,0,36.4833333333333,89.65,3629,8939,1997,12.25,12.25,0,0
"42",1998-04-07,1998-04-07,"CLARK","MO","TORNADO",1,0,0,0,40.3833333333333,91.6,4023,9135,1998,3.33333333333333,3.41666666666667,50000,0
"43",1998-04-13,1998-04-13,"CALLAWAY","MO","TORNADO",1,0,0,0,38.9166666666667,91.9166666666667,3855,9155,1998,1.66666666666667,1.71666666666667,50000,0
"44",1998-04-13,1998-04-13,"MONTGOMERY","MO","TORNADO",0,0,0,0,39,91.3666666666667,3900,9122,1998,2.33333333333333,2.35,0,0
"45",1998-04-13,1998-04-13,"WARREN","MO","TORNADO",0,0,0,0,38.8166666666667,91.1166666666667,3850,9058,1998,3.15,3.36666666666667,500,0
"46",1998-04-13,1998-04-13,"ST. CHARLES","MO","TORNADO",0,0,0,0,38.8166666666667,90.95,3848,9044,1998,3.36666666666667,3.73333333333333,0,0
"47",1998-04-13,1998-04-13,"STE. GENEVIEVE (C)","MO","TORNADO",1,0,0,0,37.9666666666667,90.3333333333333,3758,9020,1998,4.43333333333333,4.46666666666667,60000,0
"48",1998-04-13,1998-04-13,"ST. LOUIS","MO","TORNADO",1,0,0,1,38.7166666666667,90.4333333333333,3842,9023,1998,4.58333333333333,4.66666666666667,2500000,0
"49",1998-04-15,1998-04-15,"MADISON","MO","TORNADO",1,0,0,0,37.35,90.4166666666667,3725,9011,1998,7.65,7.65,0,0
